Input,Predicted_Standard_Description,Predicted_CUI,Predicted_CODE,Predicted_SYSTEM,Predicted_SCORE,Semantic Score,Fuzzy Score
chloride,Chloride,C0008203,50213009,SNOMED CT,1,1,1
antibody total serum hiv,HIV - Human immunodeficiency virus antibody,C0019683,259855002,SNOMED CT,0.7,0.71,0.67
eosinophil absolute count,Eosinophil count,C0200638,365601007,SNOMED CT,0.9,0.87,1
"ketones, urine",Urine ketones not detected,C0427751,167287002,SNOMED CT,0.85,0.75,1
hsv antibodies,Human Papillomavirus DNA test,C0587817,310298004,SNOMED CT,0.65,0.53,0.83
lactate,lactate,C0376261,114202,RxNorm,1,1,1
aspartate aminotrans,Aspartate aminotransferase,C0004002,26091008,SNOMED CT,0.79,0.74,0.87
microalbumin/creatinine ratio,Urine microalbumin/creatinine ratio,C0584615,271076007,SNOMED CT,0.94,0.9,1
protein/creatining panel,Protein 55,C0007507,81578006,SNOMED CT,0.68,0.58,0.82
basophils,Disorder of basophils,C1563248,417389002,SNOMED CT,0.85,0.76,1
b varicella zosten antibody,Varicella-zoster virus antibody,C0443710,259858000,SNOMED CT,0.77,0.75,0.86
total iron,iron,C0302583,90176,RxNorm,0.89,0.82,1
candida krusei pcr,Candida krusei,C0319629,16452009,SNOMED CT,0.85,0.82,1
"partial thromboplastin time, activated","Partial thromboplastin time, activated",C0030605,42525009,SNOMED CT,1,1,1
gclchlamydia urine,Urine,C0042036,78014005,SNOMED CT,0.72,0.53,1
iga ab,Monoclonal IgA,C0370236,712603009,SNOMED CT,0.68,0.69,0.67
ketones chemistry urine,Urine ketones testing tablets,C1303692,401764005,SNOMED CT,0.75,0.76,0.72
serum folate serum,"Serum folate measurement, serum",C0202020,60306005,SNOMED CT,0.94,0.92,1
leuks,aclarubicin,C0001143,239,RxNorm,0.24,0.24,0.25
blood count,Complete blood count,C0009555,26604007,SNOMED CT,0.92,0.87,1
influenza a + b pcr,influenza A virus A/Christchurch/16/2010 (H1N1) antigen / influenza A virus A/Hong Kong/4801/2014 (H3N2) antigen / influenza B virus B/Brisbane/60/2008 antigen / influenza B virus B/Phuket/3073/2013 antigen,C4271579,1799108,RxNorm,0.65,0.59,0.87
fetal hgb stain,Stain,C0038128,397165007,SNOMED CT,0.68,0.6,1
hiv exposure test,Papanicolaou smear test (Pap smear),C0459958,171121004,SNOMED CT,0.84,0.88,0.69
bilo acids,alpha hydroxy acids,C0772110,236797,RxNorm,0.7,0.71,0.67
ast labs,AST serum measurement,C1261155,250641004,SNOMED CT,0.52,0.49,0.55
alpha-fetoprotein test,Alpha-fetoprotein blood test,C0419584,268468007,SNOMED CT,0.97,0.95,1
hdl panel,HDL 3,C0023814,115333008,SNOMED CT,0.73,0.71,0.75
chol/hdlc ratio,MRI of leg,C0523558,313811003,SNOMED CT,0.8,0.81,0.78
wound culture + smear,"Wound microscopy, culture and sensitivities",C1303252,401294003,SNOMED CT,0.75,0.74,0.81
protein 24h un,Proteinase H(2),C0062046,130731003,SNOMED CT,0.8,0.82,0.71
protein. total,% of total protein,C0439177,258757008,SNOMED CT,0.97,0.96,1
ggt,GGT measurement,C0202035,69480007,SNOMED CT,0.81,0.68,1
hemoglobin c,Hemoglobin C,C0019020,61967003,SNOMED CT,1,1,1
growth hormone,Growth hormone releasing hormone,C0037668,16628008,SNOMED CT,0.97,0.95,1
erythrocyte sediment rate,Erythrocyte sedimentation rate,C1619634,365649001,SNOMED CT,0.96,0.98,0.91
ferritin scrum,Ferritin,C0015879,32789000,SNOMED CT,0.83,0.71,1
reactive hepatitis c antibody,Hepatitis C virus antibody,C0166049,72165005,SNOMED CT,0.87,0.87,0.87
islet cell antibodies,Islet cell antibody,C0063900,117199004,SNOMED CT,0.96,0.98,0.9
tacrolimus level,Serum tacrolimus level,C1278118,313563000,SNOMED CT,0.92,0.86,1
reactive hiv-1 antigen,Reactive for human immunodeficiency virus p24 antigen,C4076553,713008009,SNOMED CT,0.72,0.69,0.84
urobilinogen urine,Urine urobilinogen,C0427736,67410005,SNOMED CT,0.96,0.94,1
immature retic fraction,Immature reticulocyte fraction,C1446165,413042008,SNOMED CT,0.88,0.88,0.87
"lactic acid, plasma",lactic acid,C0064582,28393,RxNorm,0.82,0.78,1
protein/creatining ratio,Protein/creatinine ratio,C0428627,250750009,SNOMED CT,0.95,0.95,0.96
hgb a2,HGB - Hemoglobin,C0019046,38082009,SNOMED CT,0.7,0.71,0.67
ldl chol,LDL,C0023823,22244007,SNOMED CT,0.89,0.81,1
hep c,HEP,C0449198,258334004,SNOMED CT,0.92,0.87,1
ua reflex,Reflex,C0034929,87572000,SNOMED CT,0.89,0.82,1
total testosterone,testosterone,C0039601,10379,RxNorm,0.91,0.86,1
hemoglobinopathy screen,Hemoglobinopathy,C0019045,80141007,SNOMED CT,0.8,0.66,1
cbc w/ differential,Potassium measurement in blood,C0200631,43789009,SNOMED CT,0.82,0.79,0.94
hpv type 18,HPV typing,C0201679,67778008,SNOMED CT,0.8,0.83,0.67
urinalysis with reflex,Urinalysis with reflex to microscopy,C2711809,442468009,SNOMED CT,0.84,0.8,1
flbrinogen,euflavine,C0001187,249,RxNorm,0.55,0.56,0.53
alt) aspartate 15,aspartate,C0085845,42543,RxNorm,0.74,0.68,1
urineculture,activated charcoal,C0001275,272,RxNorm,0.29,0.3,0.27
o2 level,Hemoglobin O level,C1321156,408190009,SNOMED CT,0.68,0.62,0.77
urine opiates,Urine opiates screening test,C1278206,314083002,SNOMED CT,0.78,0.64,1
hgb electrophorosis,HGB - Hemoglobin,C0019046,38082009,SNOMED CT,0.41,0.36,0.48
rapid flu b,Flu,C0021400,6142004,SNOMED CT,0.74,0.67,1
hemoglobin a1c percent,percent of total hemoglobin,C0475206,258762009,SNOMED CT,0.84,0.82,0.9
liver profile,pH profile,C0429225,251385003,SNOMED CT,0.62,0.48,0.82
ana antibody screen,Antibody screen,C0368676,120646007,SNOMED CT,0.93,0.92,1
wbc. ur,WBC - White blood cell,C0023516,52501007,SNOMED CT,0.71,0.74,0.67
hep c antibody,Hepatitis C virus antibody,C0166049,72165005,SNOMED CT,0.78,0.77,0.83
plt plt,PLT - Platelet,C0005821,16378004,SNOMED CT,0.71,0.52,1
ph. urine,Urine pH test,C0042044,167305006,SNOMED CT,0.88,0.81,1
ck2,Macro CK,C1568366,102772008,SNOMED CT,0.62,0.8,0.36
fibrinogen titer,CT scan of pelvis,C1301565,397636002,SNOMED CT,1,1,1
influenza a by,Influenza virus A,C0029347,407479009,SNOMED CT,0.82,0.81,0.88
prenatal glucose tolerance,Impaired glucose tolerance in pregnancy,C0342307,237628005,SNOMED CT,0.86,0.88,0.79
absolute monocytes,Abnormal monocytes,C0580319,165540007,SNOMED CT,0.78,0.79,0.78
vitamin d levels,Serum vitamin D level,C0428586,270990000,SNOMED CT,0.88,0.89,0.86
specific gravity urine dipstick,Urine dipstick for specific gravity,C0430383,252386004,SNOMED CT,0.96,0.95,1
vaginal organism swab,Vaginal swab,C0444207,258520000,SNOMED CT,0.97,0.96,1
stool occult blood,Occult blood in stool,C0266813,59614000,SNOMED CT,0.98,0.97,1
glucose load testing,Glucose load test,C0730535,313194008,SNOMED CT,0.97,0.98,0.92
influenza a+b ag,Fentanyl transdermal patch,C1291843,121008006,SNOMED CT,0.89,0.88,0.93
chco3,aconite,C0001157,242,RxNorm,0.44,0.51,0.33
cbc w/diff,w/w,C2919747,444793006,SNOMED CT,0.74,0.57,1
sore thraot,Sore,C1455785,410713007,SNOMED CT,0.89,0.82,1
hyperglycernia,adiphenine,C0001521,333,RxNorm,0.3,0.27,0.33
fast breathing,Breathing,C0035203,719983008,SNOMED CT,0.88,0.79,1
subgaleal bleed,Subgaleal hemorrhage,C0475728,276622005,SNOMED CT,0.76,0.77,0.75
thyroid disorders,Colonoscopy,C0040127,29028009,SNOMED CT,0.8,0.86,0.71
ocd,CT scan of brain,C0028768,191736004,SNOMED CT,0.9,0.83,1
adhd anxiety,Anxiety,C0003467,48694002,SNOMED CT,0.83,0.72,1
heart murmur of newborns,Neonatal physiological heart murmur,C4302213,722920009,SNOMED CT,0.86,0.9,0.67
retractions,acetone,C0001002,178,RxNorm,0.3,0.12,0.56
flexural eczema,Flexural eczema,C0263224,57092006,SNOMED CT,1,1,1
diabetes mellitus prediabetic,Diabetes mellitus,C0011849,73211009,SNOMED CT,0.9,0.88,1
parotid swelling,Parotid swelling,C0424823,271613005,SNOMED CT,1,1,1
stomach cancer,Cancer of stomach,C0024623,363349007,SNOMED CT,0.97,0.95,1
house dust mite allergy,House dust mite allergy,C0339808,232350006,SNOMED CT,1,1,1
nausea & vomiting,Nausea and vomiting,C0027498,16932000,SNOMED CT,0.96,0.95,1
herpes zoster without complication,Herpes zoster without complication,C1264622,111859007,SNOMED CT,1,1,1
itching on the palms of her hands,Itching of both hands,C0858709,890090001,SNOMED CT,0.7,0.66,0.86
bilateral non-pitting edema of legs,Edema of bilateral lower legs,C5230917,816190002,SNOMED CT,0.88,0.88,0.88
allergic rhinitis,Allergic rhinitis,C2607914,61582004,SNOMED CT,1,1,1
pure hypercholesterolemiz,Pure hypercholesterolemia,C0678189,267432004,SNOMED CT,0.86,0.8,0.96
placental disorder,Placental insufficiency (disorder),C0032051,237292005,SNOMED CT,0.92,0.87,1
bleeding on tp,Bleeding,C0019080,131148009,SNOMED CT,0.85,0.81,1
coughs up blood,Coughing up blood,C0019079,66857006,SNOMED CT,0.93,0.94,0.88
tinea corporis,Tinea corporis,C0040252,84849002,SNOMED CT,1,1,1
partner violence,Violent partner,C5768430,1251650003,SNOMED CT,0.89,0.89,0.9
ideopathic intercranial htn,HTN - Hypertension,C0020538,38341003,SNOMED CT,0.41,0.41,0.42
vanishing twin syndrome,Vanishing twin syndrome,C0404852,237245006,SNOMED CT,1,1,1
clubbing of fingers,Finger clubbing,C0009080,30760008,SNOMED CT,0.93,0.94,0.88
inappropriate sinus tacchycardia,Inappropriate sinus tachycardia,C1881170,425582007,SNOMED CT,0.96,0.96,0.98
chronic serous otitis media of both ears,Chronic otitis media of both ears,C2074889,1.08E+15,SNOMED CT,0.96,0.95,1
eczema on hands & wrist,Eczema of wrist,C0241751,300926005,SNOMED CT,0.9,0.91,0.89
difficulty with walking,Difficulty walking,C0311394,719232003,SNOMED CT,0.99,0.98,1
pneumococcal meningitis,Pneumococcal meningitis,C0025295,51169003,SNOMED CT,1,1,1
pubic symphysis dysfunction,Symphysis pubis dysfunction,C0240682,703619001,SNOMED CT,0.95,0.95,0.96
ventral hernia,Ventral hernia,C0019326,414396006,SNOMED CT,1,1,1
excessive sweatiness,Excessive sweating,C0700590,52613005,SNOMED CT,0.92,0.95,0.89
jaundice to abd head,Jaundice,C0022346,18165001,SNOMED CT,0.64,0.56,1
paralysis,Paralysis,C0522224,44695005,SNOMED CT,1,1,1
nabothian cysts,Nabothian cyst,C0027269,767356009,SNOMED CT,0.92,0.89,0.97
painful swallowing throat,Painful swallowing,C0221150,30233002,SNOMED CT,0.9,0.88,1
off lower quadrant pain,Right lower quadrant pain,C0694551,301754002,SNOMED CT,0.85,0.84,0.9
congenital mvp,Congenital,C1744681,255399007,SNOMED CT,0.87,0.78,1
3- duanes syndrome,Syndrome,C0039082,64572001,SNOMED CT,0.81,0.76,1
pregnancy induced htn,Pregnancy-induced hypertension,C0852036,48194001,SNOMED CT,0.78,0.75,0.89
liver hematoma,Liver hematoma,C0347630,262796008,SNOMED CT,1,1,1
pregnancy induced hypertension in third trimester,Pregnancy-induced hypertension,C0852036,48194001,SNOMED CT,0.87,0.83,1
polyps,Multiple polyps,C0334108,9499001,SNOMED CT,0.87,0.78,1
nevus,Nevus,C1456781,1163403006,SNOMED CT,1,1,1
mass on liver,Liver mass,C0240225,300332007,SNOMED CT,0.96,0.96,1
disorder of fetus or newborn,Disorder of fetus or newborn,C1533165,414025005,SNOMED CT,1,1,1
vaginal aching,Vaginal tenderness,C0567013,289594004,SNOMED CT,0.8,0.88,0.67
petechial rash,Petechial rash,C0241144,423716004,SNOMED CT,1,1,1
congestion sneezing,Sneezing,C0037383,76067001,SNOMED CT,0.93,0.88,1
vision changes,Vision unchanged,C5924883,1.16E+13,SNOMED CT,0.88,0.89,0.87
pitting edema to knees,Pitting edema,C0333243,5008001,SNOMED CT,0.82,0.77,1
bloody urine,Urine,C0042036,78014005,SNOMED CT,0.88,0.79,1
"type 1 diabetes, pku",Diabetes type,C1320657,405751000,SNOMED CT,0.81,0.76,1
erythema pain,Erythema,C0041834,247441003,SNOMED CT,0.85,0.76,1
fungal infection,Fungal infection,C0026946,3218000,SNOMED CT,1,1,1
diabetes obesity,Obesity,C0028754,414916001,SNOMED CT,0.88,0.8,1
l ear pain,Pain of ear,C0013456,301354004,SNOMED CT,0.88,0.87,0.89
polyhydram,adiphenine,C0001521,333,RxNorm,0.3,0.37,0.2
altered mental status,Altered mental status,C0278061,419284004,SNOMED CT,1,1,1
renal insufficien,Renal dysfunction,C1565489,236423003,SNOMED CT,0.7,0.74,0.65
hip disorders,Disorders,C0012634,64572001,SNOMED CT,0.77,0.62,1
disorientation,Disorientation,C0233407,62476001,SNOMED CT,1,1,1
social isolation,Social isolation,C0037421,422650009,SNOMED CT,1,1,1
infection with hiv,HIV infection,C0019693,86406008,SNOMED CT,0.98,0.97,1
chromosome disorders,Chromosome,C0008633,91272006,SNOMED CT,0.85,0.75,1
high bp,BP - High blood pressure,C0020538,38341003,SNOMED CT,0.91,0.84,1
lee edema,Edema,C0013604,267038008,SNOMED CT,0.79,0.65,1
covid-19 flu,Flu,C0021400,6142004,SNOMED CT,0.88,0.8,1
loss of hair,Loss of hair,C0002170,278040002,SNOMED CT,1,1,1
hemophilia or other blood disorders,Hemophilia,C0684275,90935002,SNOMED CT,0.89,0.86,1
anogenital tract infections,Infections of the genital tract in pregnancy,C0451799,199112006,SNOMED CT,0.7,0.69,0.74
redness edema,Edema,C0013604,267038008,SNOMED CT,0.86,0.77,1
vulvar cyst,Cyst,C0010709,441457006,SNOMED CT,0.83,0.71,1
gad,GAD - Generalized anxiety disorder,C0270549,21897009,SNOMED CT,0.72,0.54,1
charcot marie tooths disease,CMT - Charcot-Marie-Tooth disease,C0027888,398100001,SNOMED CT,0.95,0.96,0.92
fetal hyperglycemia,Hyperglycemia,C0020456,80394007,SNOMED CT,0.92,0.87,1
pre-existing hypertension during pregnancy,Pre-existing hypertension complicating pregnancy,C0341919,86041002,SNOMED CT,0.94,0.95,0.91
tonsillar abscess,Tonsillar ulcer,C0272392,16485001,SNOMED CT,0.74,0.74,0.75
osteoarthritis,Osteoarthritis,C0029408,396275006,SNOMED CT,1,1,1
deficiency iron,Iron deficiency,C0240066,35240004,SNOMED CT,0.96,0.93,1
32 weeks gestation of pregnancy,Gestation <24 weeks,C0730521,313178001,SNOMED CT,0.91,0.91,0.91
red lesions on hands,Cold hands,C0424740,271584002,SNOMED CT,0.63,0.61,0.67
ectopic fetus,Ectopic fetus,C0266664,49964003,SNOMED CT,1,1,1
cephalopelvic disproportion,Cephalopelvic disproportion,C0085988,199397009,SNOMED CT,1,1,1
hb chain hemoglobinopathy,Hemoglobinopathy,C0019045,80141007,SNOMED CT,0.9,0.87,1
edema to thighs,Edema of bilateral thighs,C5764071,1304272004,SNOMED CT,0.82,0.8,0.89
weight gain of newbom,Weight gain,C0043094,262286000,SNOMED CT,0.82,0.78,1
wound seroma,Wound seroma,C0406831,239159001,SNOMED CT,1,1,1
di-di twins,Di-Phen,C0719856,216561,RxNorm,0.5,0.48,0.53
post partum hemorrhage,Hemorrhage,C0019080,131148009,SNOMED CT,0.83,0.78,1
chronic nasal congestion,Nasal congestion,C0027424,68235000,SNOMED CT,0.93,0.91,1
chlamydia neisseria gonorrhoeas,Neisseria cinerea or Neisseria gonorrhoeae,C5549799,4.71E+14,SNOMED CT,0.84,0.86,0.76
mono-di pregnancy,Mono test,C0201383,59048000,SNOMED CT,0.55,0.51,0.62
submandibular lymph node enlargement,Enlargement of lymph nodes,C0497156,30746006,SNOMED CT,0.84,0.86,0.79
n/v/d,V>D<,C0231965,19982009,SNOMED CT,0.93,0.89,1
maternal chronic hypertension in third trimester,Maternal hypertension,C0565599,288250001,SNOMED CT,0.8,0.75,1
cetirizine 1 mg/ml oral solution common y know 2% syrtte take 5 ml (5 mg) by mouth 1 time a day as needed,cetirizine,C0055147,20610,RxNorm,0.6,0.5,1
vitamin d daily,Vitamin D intake,C0564439,286607009,SNOMED CT,0.81,0.82,0.75
doxycycline hyclate 100 mg capsule,doxycycline hyclate 20 MG Oral Capsule,C0976556,310028,RxNorm,0.99,1,0.94
varicella virus (varivax) live vaccine 0.5 ml,varicella virus vaccine live (VAR) 1350 PFU in 0.5 ML Injection,C0694239,1292457,RxNorm,0.87,0.86,0.9
aspirin 81 mg cap,aspirin,C0004057,1191,RxNorm,0.84,0.8,1
